date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:19	59565/59565	---M-Z	200	added ('OK')	text/html	etag:%22e8ad-5e1785aa-1710bc3c902e965e;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html	(from )
22:18:19	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Jul%202021%2020:18:18%20GMT	https://cvresumetemplate.com/robots.txt		(from )
22:18:19	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5c5038be-f60f340e2ec01b74;;;%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:20	99/99	---M--	200	added ('OK')	image/png	etag:%2263-5c5038ee-1cd397732f88f0c7;;;%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:20	86/86	---M--	200	added ('OK')	image/png	etag:%2256-5c5038ee-b1ba49552deaa63a;;;%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:20	94/94	---M--	200	added ('OK')	image/png	etag:%225e-5c5038ee-806b43171c9bfe8e;;;%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:20	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5bc4c7b8-df0862dde0ce7b8b;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:21	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5bb251ec-ea59fd6b33d8a228;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:21	43977/43977	---M-Z	200	added ('OK')	text/css	etag:%22abc9-5bb25670-1f0eecb87286a37b;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:22	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5bb25670-fa93d8ecf3d01631;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:22	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5e72dfe4-212ca44127b0c4b9;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:22	84001/84001	---M-Z	200	added ('OK')	text/css	etag:%2214821-5e8f3778-fb3514b5e48cd2be;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:22	15903/15903	---M-Z	200	added ('OK')	text/css	etag:%223e1f-5e8f36da-fca1b7a716e0eaef;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:23	3302/3302	---M-Z	200	added ('OK')	text/css	etag:%22ce6-5e1ce564-fdcaba1e5761aba9;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:23	0/0	---M--	200	added ('OK')	text/css	etag:%220-5c3a1a44-7354f78b32c17fac;;;%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:23	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-5e1ce564-fb946d52d5d5e695;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
22:18:23	3311/3311	---M-Z	200	added ('OK')	text/css	etag:%22cef-5e1ce564-8128d9db4cc0ede2;gz%22	https://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue-munsell.css	C:/Users/Reza_/Desktop/Web/cv1/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue-munsell.css	(from https://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
